UAE, QATAR, SAUDI, OMAN, BAHRAIN
0.869236983,0.871015281,0.682539679,0.664682532,0.85515873
0.750150989,0.765893714,0.49602843,0.66468256,0.617063492
0.347222222,0.311507937,0.200396825,0.186507941,0.180555556
0.208333333,0.240079365,0.47815693,0.436507976,0.617063492
0.712329352,0.704249489,0.285714321,0.436507904,0.176587302
0.712010646,0.331328684,0.496035062,0.323412756,0.428571429
0.238034737,0.488204819,0.603174862,0.323412615,0.617063492
0.712633111,0.793688968,0.478153564,0.472224059,0.452380952
0.612898542,0.630939741,0.367063492,0.652777778,0.251984127
0.498001874,0.630914871,0.458333333,0.382936508,0.271825397
0.37898711,0.331559902,0.361112597,0.734126977,0.39484127
0.379041034,0.456366267,0.616949126,0.4067452,0.359138699
0.809359325,0.80942955,0.79957906,0.841269877,0.775793651
0.851190476,0.835339064,0.821428563,0.690476156,0.744047936
0.779750437,0.809572171,0.845238092,0.926587302,0.875
0.986111111,0.982142857,0.952380947,0.906746032,0.918650794
0.869073382,0.950396725,0.783730159,0.690476212,0.769841428
0.152773272,0.194442545,0.837301895,0.716269903,0.617063492
0.051673432,0.057539683,0.047695945,0.097222222,0.113095238
0.051671068,0.037698413,0.11904759,0.291666667,0.148809524
0.869049229,0.226204128,0.349149696,0.406745254,0.617063492
0.379000565,0.434538332,0.305555504,0.498015834,0.255952381
0.378973367,0.488048958,0.382936508,0.521825397,0.279761905
0.8095099,0.765889668,0.736111111,0.426587302,0.646825397
0.152769478,0.53966379,0.230161442,0.174608932,0.121031746
0.765851038,0.704205138,0.799601568,0.45634904,0.601190476
